# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	0.002841491	-0.8773134	-4.733291e-05	-0.011804132	-0.007947721	0.0014714748	0
0	0.0027856922	-0.8773842	-4.6214365e-05	-0.012114871	-0.008609798	0.0015798934	1e-08
0	0.0028418032	-0.87741244	-4.734085e-05	-0.012747203	-0.009191015	0.001729532	2e-08
0	0.00058752537	-0.87738824	-4.6216635e-05	-0.013168682	-0.009991859	0.0018812703	3e-08
0	0.0026227173	-0.8780844	-0.00018589618	-0.013954404	-0.010808982	0.0020877584	4e-08
0	0.0027855225	-0.87733465	-4.6211753e-05	-0.014544923	-0.0116197085	0.002293133	5e-08
0	-0.006201116	-0.87803435	-0.0001858872	-0.015526328	-0.012631767	0.0025794387	6e-08
0	-0.0060383454	-0.87735873	-4.6220346e-05	-0.015959151	-0.013672606	0.0028111138	7e-08
0	0.002785597	-0.8773594	-4.6216646e-05	-0.016568994	-0.014827361	0.0030995095	8e-08
0	-0.008236825	-0.87731403	-4.6215166e-05	-0.017195694	-0.01635485	0.0034454863	9e-08
0	0.0027856168	-0.8773594	-4.621305e-05	-0.018186467	-0.01807114	0.003925515	1e-07
0	0.0028416507	-0.87736297	-4.7335594e-05	-0.019317396	-0.01995217	0.0045324853	1.1e-07
0	-0.008237061	-0.87733877	-4.6215304e-05	-0.01960583	-0.02172026	0.0049433275	1.2e-07
0	-0.006038181	-0.8773341	-4.6215166e-05	-0.020165592	-0.023823308	0.00557486	1.3e-07
0	-0.008237294	-0.8773635	-4.6216614e-05	-0.020581368	-0.026415657	0.0063154837	1.4e-07
0	-0.0060385214	-0.87738353	-4.6218047e-05	-0.021094663	-0.028943054	0.0071329735	1.5e-07
0	0.0026226426	-0.8780596	-0.00018589037	-0.020741045	-0.032141216	0.00790839	1.6e-07
0	0.0005875249	-0.87733877	-4.6212008e-05	-0.022078753	-0.037047997	0.009794148	1.7e-07
0	-0.006038009	-0.8773094	-4.6213954e-05	-0.020131983	-0.038812447	0.010238198	1.8e-07
0	-0.006038009	-0.8773094	-4.6214052e-05	-0.020896103	-0.045463797	0.013479206	1.9e-07
0	0.0005874838	-0.8772892	-4.6209207e-05	-0.017712368	-0.047379132	0.013910569	2e-07
0	-0.008236352	-0.8772645	-4.6212175e-05	-0.014795186	-0.050751656	0.014905863	2.1e-07
0	0.00058751006	-0.87731403	-4.621047e-05	-0.012218953	-0.052879054	0.016820021	2.2e-07
0	-0.003762202	-0.8792779	-0.000120589866	-0.0091882665	-0.056372505	0.018457204	2.3e-07
0	-0.008236595	-0.87728924	-4.6212837e-05	-0.0056319297	-0.060562532	0.020866798	2.4e-07
0	0.0027854596	-0.8773099	-4.6210374e-05	-0.0030162532	-0.057073314	0.020599011	2.5e-07
0	-0.012585696	-0.8793022	-0.000120594945	-0.0007452764	-0.058677543	0.021787625	2.6e-07
0	-0.008180798	-0.87731767	-4.7336587e-05	0.0025662151	-0.058908872	0.021748243	2.7e-07
0	-0.00603783	-0.87728465	-4.6213667e-05	0.00609981	-0.06160523	0.026573574	2.8e-07
0	-0.008236362	-0.87726456	-4.6211426e-05	0.008162386	-0.059482127	0.02586824	2.9e-07
0	0.002785302	-0.87726045	-4.6207708e-05	0.014009724	-0.06225738	0.02715303	3e-07
0	0.0026986178	-0.8779995	-0.00019162313	0.014777323	-0.053909093	0.03062906	3.1e-07
0	-0.005981439	-0.8772478	-8.215716e-05	0.015208451	-0.054383364	0.027195586	3.2e-07
0	-0.008308032	-0.8779288	-0.00018970057	0.0186983	-0.05227153	0.024971683	3.3e-07
0	-0.006088163	-0.87725353	-3.4927678e-05	0.024221588	-0.044966098	0.025584182	3.4e-07
0	-0.008079743	-0.8771832	-8.380312e-05	0.024653215	-0.038076125	0.019047529	3.5e-07
0	0.00268016	-0.87717915	1.423925e-05	0.025429666	-0.03070249	0.018113013	3.6e-07
0	-0.0080832355	-0.8771581	-0.00010257318	0.016419146	-0.025952486	0.010147409	3.8e-07
0	0.0028814115	-0.8771503	-0.000101447185	0.014347951	-0.02467149	0.00903909	3.9e-07
0	-0.0059407516	-0.87714994	-0.000101450816	0.012900794	-0.023343936	0.008363322	4e-07
0	0.0007397683	-0.8771333	-0.000102566984	0.011450024	-0.022335635	0.0077242027	4.1e-07
0	-0.008139299	-0.87715447	-0.0001014501	0.009151562	-0.022353515	0.0072820336	4.2e-07
0	-0.0039769155	-0.8791669	-5.7271693e-05	0.0068645473	-0.021583898	0.007454458	4.3e-07
0	-0.005940452	-0.8771004	-0.0001014445	0.0066557196	-0.021836873	0.006648575	4.4e-07
0	0.00068378245	-0.87712973	-0.00010144428	0.005697255	-0.02159485	0.0064125424	4.5e-07
0	0.0006838016	-0.8771544	-0.0001014472	0.004635032	-0.021891104	0.0063169184	4.6e-07
0	-0.012486573	-0.87911797	-0.0001758487	0.0029726392	-0.021814829	0.005840867	4.7e-07
0	-0.008139299	-0.8771544	-0.0001014501	0.0029948452	-0.021419056	0.006071716	4.8e-07
0	0.0028813991	-0.8771503	-0.00010144763	0.002238052	-0.022083716	0.0060717934	4.9e-07
0	0.0006838007	-0.87715447	-0.00010144698	0.0009066184	-0.022401117	0.0060412707	5.1e-07
0	-0.0036647404	-0.87914324	-0.00017585185	-0.0009844117	-0.023152085	0.005668094	5.2e-07
0	0.0024218385	-0.8771037	-9.897213e-05	-0.0006042048	-0.022743268	0.006080621	5.3e-07
