# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	0.0014296746	0.121006146	-3.0596525e-06	-0.006785038	-0.0063187396	0.0012494717	0
0	0.0014297958	0.12101639	-3.0593599e-06	-0.006960623	-0.0069020223	0.0013461101	1e-08
0	0.0014298356	0.12101982	-3.059796e-06	-0.0074505606	-0.007467568	0.0014861346	2e-08
0	0.010855745	0.12183076	1.0447404e-05	-0.0073777926	-0.007902123	0.0015846823	3e-08
0	0.003187043	0.11860619	-6.7553725e-07	-0.008309965	-0.008946785	0.0018142284	4e-08
0	0.001429714	0.12100957	-3.0601018e-06	-0.008739642	-0.009759199	0.0020076938	5e-08
0	-0.008825128	0.12099852	-3.0352473e-06	-0.0094949445	-0.010766003	0.0022773389	6e-08
0	0.0031869544	0.11860284	-6.7467084e-07	-0.009770273	-0.011678567	0.0024873	7e-08
0	-0.007068533	0.118591525	-6.525593e-07	-0.01016407	-0.01277097	0.0027528638	8e-08
0	-0.008824879	0.120995104	-3.036399e-06	-0.01049766	-0.014236502	0.0030673714	9e-08
0	0.0031869526	0.118602835	-6.758006e-07	-0.011188484	-0.015843151	0.0035086942	1e-07
0	0.0014297543	0.121012986	-3.0602957e-06	-0.011978084	-0.017735677	0.0040774886	1.1e-07
0	0.003186864	0.1185995	-6.752301e-07	-0.011977085	-0.0192874	0.004434766	1.2e-07
0	0.0014297136	0.12100957	-3.060317e-06	-0.012163001	-0.02129315	0.005006771	1.3e-07
0	0.0014297533	0.121012986	-3.0608608e-06	-0.012135916	-0.023637712	0.0056585907	1.4e-07
0	0.0014297949	0.12101639	-3.0599517e-06	-0.012219201	-0.025980955	0.006381234	1.5e-07
0	0.010855539	0.121827446	1.0483289e-05	-0.010842599	-0.028158713	0.0069135525	1.6e-07
0	0.0014297144	0.12100956	-3.0601018e-06	-0.0118156485	-0.03330718	0.008686306	1.7e-07
0	0.0031867747	0.11859615	-6.7464623e-07	-0.009618647	-0.03436359	0.008951098	1.8e-07
0	0.0014296741	0.121006146	-3.059639e-06	-0.009248165	-0.040474016	0.011760423	1.9e-07
0	0.0014296328	0.12100273	-3.059983e-06	-0.00578061	-0.04132172	0.011873871	2e-07
0	0.0014295934	0.12099932	-3.0594395e-06	-0.0024058125	-0.043335903	0.01243465	2.1e-07
0	0.0014296739	0.121006146	-3.059074e-06	0.00042252388	-0.044328492	0.013711129	2.2e-07
0	0.010909784	0.12180823	-3.8753697e-05	0.0043310295	-0.045048125	0.014524097	2.3e-07
0	0.0014296337	0.12100273	-3.0592837e-06	0.0074156183	-0.0479382	0.015935509	2.4e-07
0	0.0014296739	0.12100616	-3.059881e-06	0.008747837	-0.04397192	0.015118067	2.5e-07
0	0.010854827	0.12182045	1.0446883e-05	0.0109618725	-0.043325584	0.015488354	2.6e-07
0	0.00059659797	0.121805325	-3.6633573e-05	0.0130160395	-0.042751856	0.015261985	2.7e-07
0	0.0014296336	0.12100273	-3.059983e-06	0.015242983	-0.044825517	0.018029325	2.8e-07
0	0.003186593	0.11858945	-6.7588576e-07	0.016177641	-0.042825345	0.017485753	2.9e-07
0	0.010912885	0.121808246	8.424487e-06	0.021200622	-0.043541547	0.018351633	3e-07
0	0.003193428	0.11859954	-2.3224427e-06	0.021154625	-0.03972979	0.020897463	3.1e-07
0	0.0014665929	0.12099825	-4.3056214e-05	0.021809608	-0.039780322	0.019046972	3.2e-07
0	0.010918875	0.12179942	-1.8652572e-06	0.025809411	-0.036476403	0.017133795	3.3e-07
0	0.0013639297	0.12099177	1.8623243e-06	0.029359534	-0.030070458	0.0168273	3.4e-07
0	-0.0069598127	0.11860972	-3.8334187e-05	0.027410218	-0.025854867	0.011682934	3.5e-07
0	0.0015354448	0.12106768	-5.5515895e-05	0.028067527	-0.022162287	0.009266826	3.6e-07
0	0.010942379	0.12186076	-4.4378638e-05	0.026444921	-0.018036203	0.008021945	3.7e-07
0	0.0015354448	0.121067695	-5.5515826e-05	0.022276534	-0.018054264	0.006743448	3.8e-07
0	0.003289115	0.118655786	-5.3967062e-05	0.021301828	-0.016822003	0.0060971687	3.9e-07
0	0.0015354443	0.12106768	-5.5516568e-05	0.021177612	-0.0155198155	0.00566826	4e-07
0	0.010942378	0.12186076	-4.437835e-05	0.02195618	-0.013337043	0.005111129	4.1e-07
0	0.0032891142	0.11865577	-5.3967666e-05	0.019274794	-0.014011148	0.004966679	4.2e-07
0	0.0015354448	0.12106768	-5.5515866e-05	0.019508716	-0.012975024	0.004684679	4.3e-07
0	-0.00871711	0.12104985	-5.544748e-05	0.018539488	-0.012742941	0.0044293404	4.4e-07
0	0.010942378	0.12186076	-4.4378747e-05	0.019685378	-0.010475136	0.0039759343	4.5e-07
0	0.0015354451	0.12106768	-5.5515236e-05	0.017787613	-0.011806791	0.0040583606	4.6e-07
0	0.0015354011	0.12106427	-5.5514247e-05	0.018157896	-0.010541366	0.0037705712	4.7e-07
0	0.0032891147	0.118655786	-5.3966698e-05	0.017868543	-0.009930231	0.0036200103	4.8e-07
0	0.003289115	0.11865577	-5.3966683e-05	0.017290823	-0.010093031	0.0035692109	4.9e-07
0	0.0015354445	0.12106768	-5.551549e-05	0.017790183	-0.009326461	0.0033679956	5e-07
0	0.0032891147	0.11865577	-5.396702e-05	0.01737099	-0.0089438185	0.0032680295	5.1e-07
0	0.0015354443	0.12106768	-5.5515626e-05	0.01779759	-0.008461399	0.0031129224	5.2e-07
