# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	-0.29244545	-0.8201343	0.0006013913	-0.04724616	-0.07084067	0.03023731	0
0	-0.29244545	-0.8201343	0.0006013911	-0.04352686	-0.07992647	0.034672625	1e-08
0	-0.29244545	-0.82013434	0.0006013912	-0.03808721	-0.08776022	0.039012913	2e-08
0	-0.29244545	-0.8201343	0.0006013912	-0.031850893	-0.09434984	0.04330478	3e-08
0	-0.29244545	-0.8201343	0.0006013911	-0.023057466	-0.099418856	0.047254216	4e-08
0	-0.29244545	-0.8201343	0.0006013914	-0.014381487	-0.10010886	0.049968656	5e-08
0	-0.29244545	-0.8201343	0.0006013912	-0.008047899	-0.09917478	0.052277878	6e-08
0	-0.29244545	-0.8201343	0.0006013913	-0.0013375026	-0.098031476	0.054364458	7e-08
0	-0.29244545	-0.8201343	0.0006013912	0.0042236466	-0.09449093	0.055134967	8e-08
0	-0.29244545	-0.8201343	0.00060139113	0.00755029	-0.090806104	0.05518023	9e-08
0	-0.29244545	-0.82013434	0.0006013912	0.011444646	-0.08854728	0.05396416	1e-07
0	-0.29244545	-0.8201343	0.00060139125	0.016091745	-0.085545175	0.050678257	1.1e-07
0	-0.29244545	-0.8201343	0.0006013913	0.02166417	-0.082311705	0.04525042	1.2e-07
0	-0.29244545	-0.82013434	0.00060139125	0.032043032	-0.07798487	0.037334654	1.3e-07
0	-0.29244545	-0.8201343	0.0006013912	0.044972707	-0.06887269	0.032864537	1.4e-07
0	-0.29244545	-0.8201343	0.00060139125	0.04868747	-0.052035905	0.02508911	1.5e-07
0	-0.29244545	-0.8201343	0.0006013913	0.044337764	-0.040462136	0.019059118	1.6e-07
0	-0.29244545	-0.8201343	0.0006013913	0.039090104	-0.032193072	0.015060419	1.7e-07
0	-0.29244545	-0.8201343	0.0006013911	0.033765756	-0.026183642	0.012249417	1.8e-07
0	-0.29244545	-0.8201343	0.00060139125	0.028782291	-0.021727182	0.010200911	1.9e-07
0	-0.29244545	-0.8201343	0.0006013912	0.024234407	-0.018360674	0.008670679	2e-07
0	-0.29244545	-0.8201343	0.0006013913	0.020113055	-0.015789824	0.007511219	2.1e-07
0	-0.29244545	-0.8201343	0.0006013913	0.016375534	-0.013819802	0.0066280887	2.2e-07
0	-0.29244545	-0.8201343	0.0006013913	0.012969162	-0.012315649	0.0059576067	2.3e-07
0	-0.29244545	-0.8201343	0.00060139137	0.00984078	-0.011181076	0.005455344	2.4e-07
0	-0.29244545	-0.8201343	0.00060139125	0.0069399457	-0.010346621	0.0050898655	2.5e-07
0	-0.29244545	-0.8201343	0.0006013912	0.0042199795	-0.009762318	0.0048389765	2.6e-07
0	-0.29244545	-0.8201342	0.00060139125	0.0016381119	-0.009392858	0.0046873116	2.7e-07
0	-0.29244545	-0.8201343	0.00060139113	-0.0008449525	-0.009214353	0.004624797	2.8e-07
0	-0.29244545	-0.8201343	0.00060139137	-0.0032656195	-0.0092122005	0.004645653	2.9e-07
0	-0.29244542	-0.8201343	0.00060139096	-0.0056580864	-0.009379732	0.0047478266	3e-07
0	-0.29244545	-0.8201343	0.0006013913	-0.008055077	-0.009717449	0.004932646	3.1e-07
0	-0.29244548	-0.8201343	0.00060139125	-0.010488483	-0.010232844	0.005204844	3.2e-07
0	-0.29244545	-0.8201342	0.00060139113	-0.0129899895	-0.01094065	0.0055727134	3.3e-07
0	-0.29244545	-0.8201343	0.00060139125	-0.015591573	-0.011863599	0.0060485885	3.4e-07
0	-0.29244545	-0.8201343	0.00060139125	-0.018325863	-0.01303373	0.0066495384	3.5e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.021226233	-0.014494365	0.0073984684	3.6e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.024326457	-0.016302835	0.008325547	3.7e-07
0	-0.29244545	-0.8201343	0.00060139125	-0.027659602	-0.018534377	0.0094702775	3.8e-07
0	-0.29244545	-0.8201343	0.0006013911	-0.031255774	-0.021287326	0.010884185	3.9e-07
0	-0.29244545	-0.8201343	0.00060139125	-0.03513731	-0.024690192	0.012634478	4e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.03931019	-0.028911231	0.014808825	4.1e-07
0	-0.29244545	-0.8201343	0.00060139113	-0.04374745	-0.034171	0.017521588	4.2e-07
0	-0.29244545	-0.8201343	0.0006013913	-0.048357762	-0.040758185	0.020921351	4.3e-07
0	-0.29244545	-0.8201343	0.00060139113	-0.052922662	-0.049045656	0.0251985	4.4e-07
0	-0.29244545	-0.8201343	0.00060139125	-0.056973983	-0.059499625	0.03058949	4.5e-07
0	-0.29244545	-0.8201343	0.0006013915	-0.05951933	-0.072617	0.03735232	4.6e-07
0	-0.29244545	-0.8201343	0.0006013913	-0.058466528	-0.08862083	0.045606066	4.7e-07
0	-0.29244545	-0.8201343	0.00060139137	-0.049465004	-0.104081325	0.054011036	4.8e-07
0	-0.29244545	-0.8201343	0.00060139125	-0.037227962	-0.11211925	0.06038544	4.9e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.026826233	-0.11575551	0.065634556	5e-07
0	-0.29244545	-0.82013434	0.00060139137	-0.016356079	-0.11740234	0.070408665	5.1e-07
0	-0.29244545	-0.8201343	0.0006013911	-0.0076514105	-0.11520515	0.07387701	5.2e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.0020608006	-0.11209323	0.07716394	5.3e-07
0	-0.29244545	-0.8201342	0.00060139125	0.0036203035	-0.10963574	0.08004279	5.4e-07
0	-0.29244545	-0.8201343	0.0006013911	0.008425456	-0.10566308	0.08226013	5.5e-07
0	-0.29244545	-0.8201343	0.0006013912	0.011566582	-0.10117596	0.08532406	5.6e-07
0	-0.29244548	-0.8201343	0.0006013913	0.011036797	-0.09697341	0.08755245	5.7e-07
0	-0.29244548	-0.8201343	0.00060139137	0.011012802	-0.09371338	0.08764266	5.8e-07
0	-0.29244545	-0.8201343	0.00060139125	0.009751331	-0.09073568	0.087407656	5.9e-07
0	-0.29244545	-0.8201343	0.00060139137	0.008991891	-0.08794886	0.08561497	6e-07
0	-0.29244545	-0.8201343	0.0006013914	0.00916178	-0.085259154	0.08459901	6.1e-07
0	-0.29244545	-0.8201343	0.00060139125	0.007140292	-0.08255402	0.08365428	6.2e-07
0	-0.29244545	-0.8201342	0.00060139113	0.0056837173	-0.07986622	0.08078408	6.3e-07
0	-0.29244545	-0.8201343	0.0006013912	0.0053583784	-0.07716069	0.078944	6.4e-07
0	-0.29244545	-0.8201343	0.00060139113	0.0022933076	-0.07434272	0.07694635	6.5e-07
0	-0.29244545	-0.8201342	0.0006013912	0.00021467806	-0.07139714	0.072486155	6.6e-07
0	-0.29244545	-0.8201343	0.00060139137	-0.0006581133	-0.06825277	0.0690898	6.7e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.0044774334	-0.06468213	0.0648783	6.8e-07
0	-0.29244545	-0.8201343	0.0006013913	-0.0068061817	-0.06065983	0.057698045	6.9e-07
0	-0.29244545	-0.8201343	0.00060139113	-0.008507241	-0.055985693	0.04963559	7e-07
0	-0.29244545	-0.8201343	0.0006013912	-0.008904632	-0.050955426	0.039275534	7.1e-07
0	-0.29244545	-0.8201343	0.00060139113	-0.006044012	-0.04642278	0.027370691	7.2e-07
0	-0.29244545	-0.8201343	0.0006013913	0.00026029118	-0.0431999	0.016190857	7.3e-07
0	-0.29244545	-0.8201343	0.00060139125	0.008934213	-0.0414998	0.0057051657	7.4e-07
0	-0.29244545	-0.8201343	0.0006013911	0.020858452	-0.04162769	-0.004710695	7.5e-07
0	-0.29244545	-0.8201343	0.0006013912	0.038503066	-0.043881834	-0.013345033	7.6e-07
0	-0.29244545	-0.8201343	0.0006013912	0.06073146	-0.045553695	-0.01491046	7.7e-07
0	-0.29244545	-0.8201343	0.0006013912	0.077904604	-0.04088153	-0.009440304	7.8e-07
0	-0.29244545	-0.82013434	0.00060139113	0.079693764	-0.030061362	-0.0068345624	7.9e-07
0	-0.29244545	-0.8201343	0.00060139125	0.074029475	-0.023152707	-0.0051538814	8e-07
0	-0.29244548	-0.8201343	0.0006013912	0.067502595	-0.018335778	-0.0037201068	8.1e-07
0	-0.29244545	-0.8201343	0.0006013912	0.06106067	-0.014887478	-0.002592996	8.2e-07
0	-0.29244545	-0.8201343	0.0006013913	0.055136535	-0.012332648	-0.0017317706	8.3e-07
0	-0.29244545	-0.82013434	0.00060139125	0.049834136	-0.010376022	-0.0010875015	8.4e-07
0	-0.29244545	-0.8201343	0.00060139113	0.04514342	-0.00883828	-0.0006120808	8.5e-07
0	-0.29244545	-0.8201343	0.0006013912	0.041013762	-0.0076059266	-0.00026460073	8.6e-07
0	-0.29244545	-0.8201343	0.00060139113	0.037382584	-0.0066026966	-1.2924472e-05	8.7e-07
0	-0.29244545	-0.8201343	0.0006013912	0.034187313	-0.0057750265	0.00016738457	8.8e-07
0	-0.29244548	-0.8201343	0.0006013912	0.031370226	-0.005084245	0.00029464488	8.9e-07
0	-0.29244545	-0.8201343	0.00060139125	0.028879903	-0.0045017996	0.00038254008	9e-07
0	-0.29244545	-0.8201343	0.0006013911	0.026671626	-0.0040062536	0.0004412759	9.1e-07
0	-0.29244548	-0.8201342	0.00060139113	0.024706924	-0.0035812429	0.0004784539	9.2e-07
0	-0.29244548	-0.8201342	0.0006013913	0.02295292	-0.003214106	0.0004997535	9.3e-07
0	-0.29244548	-0.8201343	0.0006013913	0.021381635	-0.002894895	0.0005094072	9.4e-07
0	-0.29244545	-0.8201343	0.00060139125	0.019969223	-0.0026157328	0.00051058835	9.5e-07
0	-0.29244545	-0.8201343	0.0006013911	0.018695412	-0.002370278	0.00050565694	9.6e-07
0	-0.29244542	-0.8201343	0.00060139113	0.017542895	-0.0021534131	0.000496394	9.7e-07
0	-0.29244545	-0.8201343	0.00060139125	0.016496887	-0.0019609418	0.00048411722	9.8e-07
