# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	-0.0103909625	0.8849139	-2.0262202e-11	0.043532442	0.036972743	-0.015477337	6.2e-07
0	-0.010390962	0.8849139	2.0262202e-11	0.047039237	0.045307975	-0.01902056	6.3e-07
0	-0.0015320715	0.8849153	-7.4294744e-11	0.04859226	0.055628125	-0.023313135	6.4e-07
0	-0.010390961	0.8849139	9.286843e-11	0.04648807	0.06628571	-0.027686015	6.5e-07
0	-0.0015320772	0.88491535	6.7540674e-11	0.041691255	0.07442363	-0.031089356	6.6e-07
0	-0.0015320773	0.88491523	-1.6209761e-10	0.036580633	0.07982948	-0.033352703	6.7e-07
0	-0.0015320827	0.88491523	1.3508135e-11	0.032070715	0.083479844	-0.034798205	6.8e-07
0	-0.0103909625	0.884914	1.0637656e-10	0.02827357	0.08609961	-0.035720583	6.9e-07
0	-0.010390964	0.8849139	4.7278473e-11	0.025081342	0.0880999	-0.036315966	7e-07
0	-0.01039088	0.8849139	1.604091e-10	0.022371477	0.08971176	-0.036710475	7.1e-07
0	-0.0015320651	0.88491535	-2.5327752e-11	0.020037632	0.091066815	-0.03698201	7.2e-07
0	-0.010390962	0.8849139	9.4556946e-11	0.018007731	0.09225192	-0.03718207	7.3e-07
0	-0.001532077	0.88491523	0	0.016214333	0.09332184	-0.037341326	7.4e-07
0	-0.0015320764	0.88491523	2.701627e-11	0.014618539	0.09432441	-0.03748409	7.5e-07
0	-0.0015321618	0.8849154	-3.3770337e-11	0.013181689	0.09529607	-0.037626725	7.6e-07
0	-0.010390961	0.8849139	1.2157321e-10	0.011874423	0.09627052	-0.03778311	7.7e-07
0	-0.01039088	0.884914	1.3508135e-11	0.010663658	0.09727715	-0.03796404	7.8e-07
0	-0.0015321592	0.8849154	2.0262202e-11	0.009520238	0.09834598	-0.03818032	7.9e-07
0	-0.0015321603	0.88491535	0	0.008416302	0.09950733	-0.03844284	8e-07
0	-0.0015320783	0.88491535	5.403254e-11	0.0073123276	0.10078985	-0.03876124	8.1e-07
0	-0.0015320728	0.88491535	-2.701627e-11	0.006161957	0.10222161	-0.039145015	8.2e-07
0	-0.0015320749	0.88491535	-2.8704787e-11	0.0049059344	0.10382774	-0.039602492	8.3e-07
0	-0.010390961	0.8849139	-5.403254e-11	0.0034697573	0.10562657	-0.040139467	8.4e-07
0	-0.0015320759	0.88491523	2.701627e-11	0.0017484933	0.107624166	-0.040756464	8.5e-07
0	-0.010390877	0.884914	4.7278473e-11	-0.00037532905	0.10980417	-0.04144628	8.6e-07
0	-0.0015321587	0.88491535	2.701627e-11	-0.0030669037	0.11211678	-0.042187855	8.7e-07
0	-0.010390878	0.8849139	-6.922919e-11	-0.0065071764	0.11445731	-0.042939972	8.8e-07
0	-0.0103908805	0.8849139	8.104881e-11	-0.010923889	0.11664516	-0.04363149	8.9e-07
0	-0.010390962	0.8849139	7.4294744e-11	-0.016558751	0.118383944	-0.044147253	9e-07
0	-0.001532076	0.8849153	4.0524403e-11	-0.023654472	0.11920648	-0.044307403	9.1e-07
0	-0.0015321583	0.88491535	2.701627e-11	-0.032372	0.118384376	-0.04383665	9.2e-07
0	-0.010390877	0.884914	1.3508135e-10	-0.04258588	0.11480504	-0.04232685	9.3e-07
0	-0.0103909625	0.8849139	3.8835886e-11	-0.053237583	0.10698857	-0.039271485	9.4e-07
0	-0.0015320847	0.8849153	-6.416364e-11	-0.061340358	0.0945188	-0.03457919	9.5e-07
0	-0.0015320773	0.8849153	-5.0655504e-11	-0.06458841	0.080402315	-0.029281791	9.6e-07
0	-0.0015321588	0.8849154	0	-0.064153425	0.06748189	-0.024413187	9.7e-07
0	-0.010390882	0.8849139	8.2737324e-11	-0.061707806	0.05650003	-0.02028953	9.8e-07
