Fun_x_in_m	Fun_Bx_average_in_mT	Fun_By_average_in_mT	Fun_Bz_average_in_mT
-3.800000000000e-08	 2.356902644217e-01	2.185194652389e+00	-7.975475784214e-01
-3.600000000000e-08	 3.882651741664e-01	2.175033962788e+00	-7.942099417875e-01
-3.400000000000e-08	 5.402895189609e-01	2.165699355961e+00	-7.911453138284e-01
-3.200000000000e-08	 6.918153008463e-01	2.157180374292e+00	-7.883502653622e-01
-3.000000000000e-08	 8.428905509030e-01	2.149468338352e+00	-7.858219537888e-01
-2.800000000000e-08	 9.935569479331e-01	2.142553991321e+00	-7.835573403719e-01
-2.600000000000e-08	 1.143863991925e+00	2.136429409620e+00	-7.815538281442e-01
-2.400000000000e-08	 1.293859793579e+00	2.131087197949e+00	-7.798089924356e-01
-2.200000000000e-08	 1.443587850992e+00	2.126520803212e+00	-7.783206847528e-01
-2.000000000000e-08	 1.593091364966e+00	2.122724296171e+00	-7.770869612208e-01
-1.800000000000e-08	 1.742421750309e+00	2.119692211103e+00	-7.761060308853e-01
-1.600000000000e-08	 1.891615317315e+00	2.117420048407e+00	-7.753764185203e-01
-1.400000000000e-08	 2.040723015692e+00	2.115903662818e+00	-7.748967667829e-01
-1.200000000000e-08	 2.189789248994e+00	2.115139686741e+00	-7.746659730822e-01
-1.000000000000e-08	 2.338851921009e+00	2.115125363137e+00	-7.746831343684e-01
-8.000000000000e-09	 2.487963648417e+00	2.115858538311e+00	-7.749475479327e-01
-6.000000000000e-09	 2.637159072528e+00	2.117337875880e+00	-7.754587776885e-01
-4.000000000000e-09	 2.786488330335e+00	2.119561973868e+00	-7.762163657016e-01
-2.000000000000e-09	 2.935998702209e+00	2.122530861132e+00	-7.772203265942e-01
 0.000000000000e+00	 3.085725685109e+00	2.126244664530e+00	-7.784707039578e-01
 2.000000000000e-09	 3.235717562351e+00	2.130704361607e+00	-7.799678232868e-01
 4.000000000000e-09	 3.386022721204e+00	2.135911623151e+00	-7.817122380204e-01
 6.000000000000e-09	 3.536676834989e+00	2.141868274989e+00	-7.837045496742e-01
 8.000000000000e-09	 3.687733667003e+00	2.148577181213e+00	-7.859457040880e-01
 1.000000000000e-08	 3.839227453256e+00	2.156041729550e+00	-7.884368171201e-01
 1.200000000000e-08	 3.991208060223e+00	2.164265854507e+00	-7.911791852801e-01
 1.400000000000e-08	 4.143724785670e+00	2.173254413349e+00	-7.941744091304e-01
 1.600000000000e-08	 4.296812001524e+00	2.183011971670e+00	-7.974239890967e-01
 1.800000000000e-08	 4.450523903116e+00	2.193544908422e+00	-8.009300267808e-01
 2.000000000000e-08	 4.604908565259e+00	2.204859924685e+00	-8.046947278402e-01
 2.200000000000e-08	 4.760003425773e+00	2.216963532244e+00	-8.087202322257e-01
 2.400000000000e-08	 4.915859472636e+00	2.229863859515e+00	-8.130092148577e-01
 2.600000000000e-08	 5.072528212086e+00	2.243569799653e+00	-8.175646019394e-01
 2.800000000000e-08	 5.230048247715e+00	2.258089752027e+00	-8.223891527432e-01
 3.000000000000e-08	 5.388478803889e+00	2.273434644079e+00	-8.274864637194e-01
 3.200000000000e-08	 5.547854920629e+00	2.289613758867e+00	-8.328595821431e-01
 3.400000000000e-08	 5.708232452326e+00	2.306639052889e+00	-8.385124403615e-01
 3.600000000000e-08	 5.869665732848e+00	2.324523112281e+00	-8.444491765990e-01
 3.800000000000e-08	 6.032195965562e+00	2.343277749748e+00	-8.506736692812e-01
 4.000000000000e-08	 6.195878788386e+00	2.362917072895e+00	-8.571905554410e-01
 4.200000000000e-08	 6.360770696086e+00	2.383456093051e+00	-8.640047686142e-01
 4.400000000000e-08	 6.526914873651e+00	2.404908882730e+00	-8.711209275202e-01
 4.600000000000e-08	 6.694374132134e+00	2.427292750331e+00	-8.785447208610e-01
 4.800000000000e-08	 6.863193166317e+00	2.450623384969e+00	-8.862812966197e-01
 5.000000000000e-08	 7.033431820795e+00	2.474919270091e+00	-8.943367257846e-01
 5.200000000000e-08	 7.205151037436e+00	2.500199926442e+00	-9.027174192317e-01
 5.400000000000e-08	 7.378398077544e+00	2.526483662771e+00	-9.114293820304e-01
 5.600000000000e-08	 7.553235848576e+00	2.553791917515e+00	-9.204796524872e-01
 5.800000000000e-08	 7.729728513832e+00	2.582147267692e+00	-9.298756416822e-01
 6.000000000000e-08	 7.907926289465e+00	2.611570915443e+00	-9.396243005005e-01
 6.200000000000e-08	 8.087900729849e+00	2.642088442858e+00	-9.497340261968e-01
 6.400000000000e-08	 8.269704253238e+00	2.673723158035e+00	-9.602124575450e-01
 6.600000000000e-08	 8.453405875266e+00	2.706502130714e+00	-9.710684740633e-01
 6.800000000000e-08	 8.639076161299e+00	2.740453780696e+00	-9.823113966179e-01
 7.000000000000e-08	 8.826771209158e+00	2.775604883161e+00	-9.939499955290e-01
 7.200000000000e-08	 9.016564366299e+00	2.811986406261e+00	-1.005994423336e+00
 7.400000000000e-08	 9.208530727288e+00	2.849630825593e+00	-1.018455324836e+00
 7.600000000000e-08	 9.402730559529e+00	2.888568811853e+00	-1.031342740452e+00
 7.800000000000e-08	 9.599247718361e+00	2.928836870340e+00	-1.044668634424e+00
 8.000000000000e-08	 9.798145546900e+00	2.970468543855e+00	-1.058443982747e+00
 8.200000000000e-08	 9.999505877188e+00	3.013502394196e+00	-1.072681414073e+00
 8.400000000000e-08	 1.020341265971e+01	3.057978816123e+00	-1.087394154552e+00
 8.600000000000e-08	 1.040993433510e+01	3.103936137476e+00	-1.102594737397e+00
 8.800000000000e-08	 1.061915867744e+01	3.151418277593e+00	-1.118297535637e+00
 9.000000000000e-08	 1.083117583158e+01	3.200471230097e+00	-1.134517597688e+00
 9.200000000000e-08	 1.104605997023e+01	3.251138769746e+00	-1.151269227245e+00
 9.400000000000e-08	 1.126391176235e+01	3.303472415896e+00	-1.168569276953e+00
 9.600000000000e-08	 1.148480958750e+01	3.357519999513e+00	-1.186433367600e+00
 9.800000000000e-08	 1.170885275601e+01	3.413336056262e+00	-1.204879323083e+00
 1.000000000000e-07	 1.193614342809e+01	3.470977695516e+00	-1.223925803493e+00
 1.020000000000e-07	 1.216676692663e+01	3.530499570166e+00	-1.243590642300e+00
 1.040000000000e-07	 1.240083059015e+01	3.591963820693e+00	-1.263894131068e+00
 1.060000000000e-07	 1.263844493472e+01	3.655435532682e+00	-1.284857516908e+00
 1.080000000000e-07	 1.287970305882e+01	3.720977207236e+00	-1.306501175283e+00
 1.100000000000e-07	 1.312472126692e+01	3.788659720061e+00	-1.328848228212e+00
 1.120000000000e-07	 1.337361940284e+01	3.858557329749e+00	-1.351922893696e+00
 1.140000000000e-07	 1.362649926273e+01	3.930741598746e+00	-1.375748477744e+00
 1.160000000000e-07	 1.388349451763e+01	4.005295626478e+00	-1.400352071102e+00
 1.180000000000e-07	 1.414471332275e+01	4.082297798988e+00	-1.425759183757e+00
 1.200000000000e-07	 1.441028928354e+01	4.161836636867e+00	-1.451998643283e+00
 1.220000000000e-07	 1.468036023313e+01	4.244004957048e+00	-1.479100665438e+00
 1.240000000000e-07	 1.495504478451e+01	4.328892747649e+00	-1.507094502366e+00
 1.260000000000e-07	 1.523448852055e+01	4.416601393426e+00	-1.536013132244e+00
 1.280000000000e-07	 1.551884172145e+01	4.507237261283e+00	-1.565891140215e+00
 1.300000000000e-07	 1.580823466140e+01	4.600903855688e+00	-1.596762130279e+00
 1.320000000000e-07	 1.610283469572e+01	4.697720326397e+00	-1.628664822878e+00
 1.340000000000e-07	 1.640278059976e+01	4.797800430476e+00	-1.661636117912e+00
 1.360000000000e-07	 1.670824097572e+01	4.901271862302e+00	-1.695717461212e+00
