# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.015341679	0.9894785	9.1537895e-06	0	0.07500045	0
0	0.015727144	0.98901814	5.407309e-06	0	0.06999977	0
0	0.016106714	0.98852724	1.7604103e-06	0	0.0649999	0
0	0.016477581	0.98799926	-1.6529884e-06	0	0.059999995	0
0	0.016843388	0.9874378	-4.587558e-06	0	0.05500021	0
0	0.017182447	0.9868227	-7.681185e-06	0	0.049999718	0
0	0.017512836	0.98615223	-1.0583521e-05	0	0.04500007	0
0	0.01784532	0.98543614	-1.4592527e-05	0	0.040000282	0
0	0.018176408	0.9846356	-1.7677188e-05	0	0.034999885	0
0	0.018494371	0.9837275	-1.989714e-05	0	0.029999997	0
0	0.018810673	0.9826474	-1.9232355e-05	0	0.024999859	0
0	0.019104352	0.98127115	-2.3246424e-05	0	0.020000141	0
0	0.01920038	0.9794858	-2.6199701e-05	0	0.014999999	0
0	0.018829921	0.97681534	-3.1057276e-05	0	0.010000071	0
0	0.01775648	0.9715162	-3.673577e-05	0	0.0050000353	0
0	0.018178383	0.9521158	-4.0602823e-05	0	-1.7347235e-18	0
0	0.02032012	0.9482419	-4.4785207e-05	0	-0.0050000353	0
0	0.021765407	0.9461315	-4.926151e-05	0	-0.010000071	0
0	0.022911193	0.9443824	-5.383432e-05	0	-0.014999999	0
0	0.02393963	0.94262946	-5.8358233e-05	0	-0.020000141	0
0	0.013136052	0.8807867	-0.00014976444	0	-0.024999859	0
0	0.00042339694	-0.14469004	0.00033291645	0	-0.029999997	0
0	0.0004386599	-0.14656846	0.00033713662	0	-0.034999885	0
0	0.0019613646	-0.1630562	0.00031154449	0	-0.040000282	0
0	0.0021126978	-0.16506684	0.00031777733	0	-0.04500007	0
0	0.0018857177	-0.17008053	0.00030698947	0	-0.049999718	0
0	0.0020665957	-0.17315018	0.00031637316	0	-0.05500021	0
0	-0.00027383643	-0.98593384	0.00020673551	0	-0.059999995	0
0	-0.00031607796	-0.9866192	0.00019339458	0	-0.0649999	0
0	-0.00046297198	-0.9874137	0.00015468018	0	-0.06999977	0
0	-0.0005488929	-0.98794556	0.00014020948	0	-0.07500045	0
0	-0.0005488927	-0.9879457	0.00014020946	0	-0.07500045	0
0	-0.0004629854	-0.9874138	0.00015468015	0	-0.06999977	0
0	-0.0004020266	-0.98684794	0.00016817501	0	-0.0649999	0
0	-0.00027383678	-0.98593384	0.00020673548	0	-0.059999995	0
0	-0.00026102355	-0.98513573	0.00021539949	0	-0.05500021	0
0	-0.0002788664	-0.98435193	0.00022185642	0	-0.049999718	0
0	-0.00030641223	-0.9835391	0.00022618212	0	-0.04500007	0
0	-0.00033159126	-0.9826883	0.00022131966	0	-0.040000282	0
0	-0.00033967203	-0.9817791	0.00021087687	0	-0.034999885	0
0	-0.00032236203	-0.9807699	0.00020060406	0	-0.029999997	0
0	-0.00027391216	-0.9796033	0.00019063482	0	-0.024999859	0
0	-0.00017066846	-0.9781878	0.00018089627	0	-0.020000141	0
0	4.140872e-05	-0.97634697	0.0001721839	0	-0.014999999	0
0	0.0004845531	-0.9736252	0.00016523965	0	-0.010000071	0
0	0.0016969799	-0.9682089	0.00015753505	0	-0.0050000353	0
0	0.0017762734	-0.9489124	0.0001461392	0	1.7347235e-18	0
0	0.0007223343	-0.9453171	0.00013749435	0	0.0050000353	0
0	3.4554476e-05	-0.9432587	0.00012977564	0	0.010000071	0
0	-0.00042195182	-0.9415525	0.00012361848	0	0.014999999	0
0	-0.00073595654	-0.9398714	0.00012107672	0	0.020000141	0
0	-0.0009864665	-0.9380695	0.00011673305	0	0.024999859	0
0	-0.0011359317	-0.9360229	0.00011119304	0	0.029999997	0
0	-0.0014067763	-0.93343765	0.00014955703	0	0.034999885	0
0	0.008569216	0.16302711	-0.000343166	0	0.040000282	0
0	0.008013175	0.16500936	-0.00035857756	0	0.04500007	0
0	0.007838627	0.17001693	-0.00023999544	0	0.049999718	0
0	0.0072598686	0.17307526	-0.00021391246	0	0.05500021	0
0	0.009243461	0.98589796	-0.0002106382	0	0.059999995	0
0	0.008877291	0.9865744	-0.00019654396	0	0.0649999	0
0	0.008598169	0.98735625	-0.0001576964	0	0.06999977	0
0	0.008230098	0.98787004	-0.00014446245	0	0.07500045	0
